[2025-03-06 15:07:02] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:01, systemid=1, alt=29.212, dist_traveled=null, wp_dist=336, dist_to_home=616.6467527968871, vertical_speed=0.23233517, ground_speed=25.410261, wind_vel=0.0, airspeed=24.761969, roll=0.31, pitch=-2.19, yaw=-163.31, ch3percent=66.60, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0712465, lon=129.0908529, ch3out=1666}
[2025-03-06 15:07:03] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:01, systemid=1, alt=29.212, dist_traveled=null, wp_dist=336, dist_to_home=616.6467527968871, vertical_speed=0.23233517, ground_speed=25.410261, wind_vel=0.0, airspeed=24.761969, roll=0.31, pitch=-2.19, yaw=-163.31, ch3percent=66.60, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0712465, lon=129.0908529, ch3out=1666}
[2025-03-06 15:07:04] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:04, systemid=1, alt=29.657, dist_traveled=null, wp_dist=260, dist_to_home=692.0285591156116, vertical_speed=0.08835799, ground_speed=25.451895, wind_vel=0.11151451, airspeed=24.808577, roll=0.86, pitch=-2.38, yaw=-162.44, ch3percent=66.30, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0705967, lon=129.0905971, ch3out=1663}
[2025-03-06 15:07:05] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:05, systemid=1, alt=29.741, dist_traveled=null, wp_dist=235, dist_to_home=717.1933134847161, vertical_speed=0.07566256, ground_speed=25.430191, wind_vel=0.116905786, airspeed=24.864971, roll=0.80, pitch=-2.32, yaw=-161.99, ch3percent=66.10, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0703806, lon=129.0905082, ch3out=1661}
[2025-03-06 15:07:06] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:06, systemid=1, alt=29.79, dist_traveled=null, wp_dist=209, dist_to_home=742.3685252750294, vertical_speed=0.027472293, ground_speed=25.455383, wind_vel=0.12237834, airspeed=24.901035, roll=0.61, pitch=-2.38, yaw=-161.63, ch3percent=66.30, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0701648, lon=129.0904177, ch3out=1663}
[2025-03-06 15:07:07] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:07, systemid=1, alt=29.846, dist_traveled=null, wp_dist=184, dist_to_home=767.6071425985324, vertical_speed=0.05762484, ground_speed=25.480007, wind_vel=0.12772554, airspeed=24.918262, roll=-0.04, pitch=-2.34, yaw=-161.44, ch3percent=66.30, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0699488, lon=129.0903257, ch3out=1663}
[2025-03-06 15:07:08] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:08, systemid=1, alt=29.877, dist_traveled=null, wp_dist=171, dist_to_home=780.2568599602754, vertical_speed=0.009114764, ground_speed=25.489214, wind_vel=0.13074455, airspeed=24.95463, roll=0.05, pitch=-2.34, yaw=-161.46, ch3percent=65.80, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0698406, lon=129.0902795, ch3out=1658}
[2025-03-06 15:07:09] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:08, systemid=1, alt=29.919, dist_traveled=null, wp_dist=146, dist_to_home=805.4962124843696, vertical_speed=0.037104204, ground_speed=25.486311, wind_vel=0.13693038, airspeed=24.938635, roll=-0.04, pitch=-2.47, yaw=-161.42, ch3percent=65.70, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0696248, lon=129.0901873, ch3out=1657}
[2025-03-06 15:07:10] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:10, systemid=1, alt=29.953, dist_traveled=null, wp_dist=108, dist_to_home=843.2740463552981, vertical_speed=-0.033137664, ground_speed=25.44607, wind_vel=0.14795925, airspeed=24.9769, roll=-0.35, pitch=-2.53, yaw=-161.41, ch3percent=65.80, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.069302, lon=129.0900492, ch3out=1658}
[2025-03-06 15:07:11] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:11, systemid=1, alt=29.98, dist_traveled=null, wp_dist=82, dist_to_home=868.5155423366597, vertical_speed=-0.02683823, ground_speed=25.449697, wind_vel=0.15500563, airspeed=24.93937, roll=-0.10, pitch=-2.54, yaw=-161.51, ch3percent=65.80, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0690864, lon=129.0899571, ch3out=1658}
[2025-03-06 15:07:12] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:12, systemid=1, alt=30.015, dist_traveled=null, wp_dist=57, dist_to_home=893.8374539582236, vertical_speed=0.013037648, ground_speed=25.490166, wind_vel=0.1611056, airspeed=24.953419, roll=-0.08, pitch=-2.47, yaw=-161.61, ch3percent=65.80, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0688701, lon=129.0898652, ch3out=1658}
