[2025-03-06 15:07:02] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:02, systemid=1, alt=26.434, dist_traveled=null, wp_dist=803, dist_to_home=1045.5329015265202, vertical_speed=0.50862235, ground_speed=24.854576, wind_vel=0.19526246, airspeed=24.377787, roll=-6.52, pitch=-1.00, yaw=42.02, ch3percent=69.50, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0683263, lon=129.0868734, ch3out=1695}
[2025-03-06 15:07:03] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:02, systemid=1, alt=26.434, dist_traveled=null, wp_dist=803, dist_to_home=1045.5329015265202, vertical_speed=0.50862235, ground_speed=24.854576, wind_vel=0.19526246, airspeed=24.377787, roll=-6.52, pitch=-1.00, yaw=42.02, ch3percent=69.50, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0683263, lon=129.0868734, ch3out=1695}
[2025-03-06 15:07:04] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:02, systemid=1, alt=26.434, dist_traveled=null, wp_dist=803, dist_to_home=1045.5329015265202, vertical_speed=0.50862235, ground_speed=24.854576, wind_vel=0.19526246, airspeed=24.377787, roll=-6.52, pitch=-1.00, yaw=42.02, ch3percent=69.50, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0683263, lon=129.0868734, ch3out=1695}
[2025-03-06 15:07:05] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:05, systemid=1, alt=27.274, dist_traveled=null, wp_dist=766, dist_to_home=1009.1721592609916, vertical_speed=0.52023196, ground_speed=25.070133, wind_vel=0.18734929, airspeed=24.578213, roll=-7.26, pitch=-1.00, yaw=39.21, ch3percent=68.60, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0685811, lon=129.087143, ch3out=1686}
[2025-03-06 15:07:06] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:05, systemid=1, alt=27.274, dist_traveled=null, wp_dist=766, dist_to_home=1009.1721592609916, vertical_speed=0.5342312, ground_speed=25.093416, wind_vel=0.18734929, airspeed=24.594728, roll=-7.02, pitch=-1.09, yaw=38.56, ch3percent=68.60, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0685811, lon=129.087143, ch3out=1686}
[2025-03-06 15:07:07] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:07, systemid=1, alt=27.559, dist_traveled=null, wp_dist=753, dist_to_home=996.8678268490362, vertical_speed=0.5320958, ground_speed=25.118052, wind_vel=0.18734929, airspeed=24.62677, roll=-6.82, pitch=-1.06, yaw=38.07, ch3percent=68.40, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0686696, lon=129.0872291, ch3out=1684}
[2025-03-06 15:07:08] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:07, systemid=1, alt=27.819, dist_traveled=null, wp_dist=741, dist_to_home=984.459580267334, vertical_speed=0.46551174, ground_speed=25.183088, wind_vel=0.18500417, airspeed=24.639744, roll=-5.89, pitch=-1.30, yaw=36.41, ch3percent=67.80, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0687599, lon=129.0873135, ch3out=1678}
[2025-03-06 15:07:09] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:07, systemid=1, alt=27.819, dist_traveled=null, wp_dist=741, dist_to_home=984.459580267334, vertical_speed=0.46551174, ground_speed=25.183088, wind_vel=0.18500417, airspeed=24.639744, roll=-5.89, pitch=-1.30, yaw=36.41, ch3percent=67.80, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0687599, lon=129.0873135, ch3out=1678}
[2025-03-06 15:07:10] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:10, systemid=1, alt=28.064, dist_traveled=null, wp_dist=728, dist_to_home=972.0558600111785, vertical_speed=0.33362013, ground_speed=25.25034, wind_vel=0.18458146, airspeed=24.703074, roll=-4.72, pitch=-1.67, yaw=35.03, ch3percent=67.60, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0688511, lon=129.0873957, ch3out=1676}
[2025-03-06 15:07:11] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:10, systemid=1, alt=28.455, dist_traveled=null, wp_dist=703, dist_to_home=947.1350830923353, vertical_speed=0.31451303, ground_speed=25.288269, wind_vel=0.184744, airspeed=24.75946, roll=-3.68, pitch=-1.75, yaw=33.97, ch3percent=67.20, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0690367, lon=129.0875553, ch3out=1672}
[2025-03-06 15:07:12] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:12, systemid=1, alt=28.632, dist_traveled=null, wp_dist=690, dist_to_home=934.6481734059737, vertical_speed=0.26143026, ground_speed=25.299898, wind_vel=0.184744, airspeed=24.761099, roll=-3.35, pitch=-1.87, yaw=33.63, ch3percent=66.80, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0691307, lon=129.0876329, ch3out=1668}
