[2025-03-06 15:07:02] {GCS_IP=192.168.1.
























































3, timestamp=2025-03-06 15:07:01, systemid=1, alt=null, dist_traveled=null, wp_dist=null, dist_to_home=0.0, vertical_speed=-0.017031772, ground_speed=0.025533186, wind_vel=0.0, airspeed=0.3476008, roll=-0.06, pitch=-0.07, yaw=3.46, ch3percent=null, ch9out=0.0, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0.0, battery_current=0.0}
[2025-03-06 15:07:03] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:02, systemid=1, alt=-0.099, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=-0.020929022, ground_speed=0.026438704, wind_vel=0.0, airspeed=0.8463612, roll=-0.06, pitch=-0.07, yaw=3.43, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:04] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:04, systemid=1, alt=0.029, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=-0.0073944908, ground_speed=0.026793426, wind_vel=0.0, airspeed=0.6863436, roll=-0.06, pitch=-0.07, yaw=3.40, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:05] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:05, systemid=1, alt=0.065, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=-0.0021649196, ground_speed=0.026719498, wind_vel=0.0, airspeed=0.81546706, roll=-0.06, pitch=-0.07, yaw=3.39, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:06] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:06, systemid=1, alt=0.105, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=0.005473885, ground_speed=0.027193202, wind_vel=0.0, airspeed=0.7405815, roll=-0.06, pitch=-0.07, yaw=3.36, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:07] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:07, systemid=1, alt=0.117, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=0.007147599, ground_speed=0.027572427, wind_vel=0.0, airspeed=0.24124356, roll=-0.06, pitch=-0.07, yaw=3.34, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:08] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:08, systemid=1, alt=0.119, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=0.00679901, ground_speed=0.027806098, wind_vel=0.0, airspeed=0.46062672, roll=-0.06, pitch=-0.07, yaw=3.32, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:09] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:08, systemid=1, alt=0.045, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=0.0089476295, ground_speed=0.027715553, wind_vel=0.0, airspeed=0.893542, roll=-0.06, pitch=-0.07, yaw=3.30, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:10] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:10, systemid=1, alt=-0.042, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=-2.2547068E-4, ground_speed=0.02787697, wind_vel=0.0, airspeed=0.57587236, roll=-0.06, pitch=-0.07, yaw=3.27, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:11] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:11, systemid=1, alt=-0.072, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=-0.0037336694, ground_speed=0.028173817, wind_vel=0.0, airspeed=0.37698615, roll=-0.06, pitch=-0.07, yaw=3.25, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:12] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:12, systemid=1, alt=-0.098, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=-0.006393189, ground_speed=0.028523697, wind_vel=0.0, airspeed=0.5206817, roll=-0.06, pitch=-0.07, yaw=3.23, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:13] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:13, systemid=1, alt=-0.131, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=-0.010649763, ground_speed=0.02861325, wind_vel=0.0, airspeed=0.919026, roll=-0.06, pitch=-0.07, yaw=3.21, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:14] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:14, systemid=1, alt=-0.134, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=-0.009203368, ground_speed=0.028552512, wind_vel=0.0, airspeed=0.7726411, roll=-0.06, pitch=-0.07, yaw=3.19, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:15] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:15, systemid=1, alt=-0.057, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=-0.010075592, ground_speed=0.028475033, wind_vel=0.0, airspeed=0.35282388, roll=-0.06, pitch=-0.08, yaw=3.17, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:16] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:16, systemid=1, alt=-0.044, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=-0.014080727, ground_speed=0.028696882, wind_vel=0.0, airspeed=0.6931027, roll=-0.06, pitch=-0.08, yaw=3.15, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:17] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:17, systemid=1, alt=-0.089, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=-0.0153292855, ground_speed=0.029167755, wind_vel=0.0, airspeed=0.78453517, roll=-0.06, pitch=-0.08, yaw=3.12, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
[2025-03-06 15:07:18] {GCS_IP=192.168.1.3, timestamp=2025-03-06 15:07:18, systemid=1, alt=-0.111, dist_traveled=null, wp_dist=0, dist_to_home=8104695.128100982, vertical_speed=-0.0153227635, ground_speed=0.029456586, wind_vel=0.0, airspeed=0.73635066, roll=-0.06, pitch=-0.08, yaw=3.10, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=-35.3633515, lon=149.1652412, ch3out=1000}
